dataset_number/I:physics_short/C:crossSection/D:genFiltEff/D:kFactor/D:relUncertUP/D:relUncertDOWN/D:generator_name/C
362150         Sherpa_CT10_Znunu_Pt1000_2000_CVetoBVeto_qsf025             0.0058482      0.557651789554      0.991887       0.0            0.0            Sherpa(v2.1.1)
362158         Sherpa_CT10_Znunu_Pt1000_2000_CFilterBVeto_qsf025           0.0058482      0.287670231699      0.991887       0.0            0.0            Sherpa(v2.1.1)
362166         Sherpa_CT10_Znunu_Pt1000_2000_BFilter_qsf025                0.0058482      0.173593913482      0.991887       0.0            0.0            Sherpa(v2.1.1)
362174         Sherpa_CT10_Znunu_Pt2000_E_CMS_CVetoBVeto_qsf025            2.3961e-05     0.560013587095      0.991887       0.0            0.0            Sherpa(v2.1.1)
362182         Sherpa_CT10_Znunu_Pt2000_E_CMS_CFilterBVeto_qsf025          2.3961e-05     0.336639454258      0.991887       0.0            0.0            Sherpa(v2.1.1)
362190         Sherpa_CT10_Znunu_Pt2000_E_CMS_BFilter_qsf025               2.3961e-05     0.193093017058      0.991887       0.0            0.0            Sherpa(v2.1.1)
305193         Sherpa_CT10_Znunu2JetsEW1JetQCD15GeV_qsf4                   11.517         1.0000E+00          1.0            0.0            0.0            Sherpa(v2.1.1)
362007         Sherpa_CT10_Znunu_Pt0_70_CVetoBVeto_qsf4                    11802.0        0.777836843281      0.992245       0.0            0.0            Sherpa(v2.1.1)
362015         Sherpa_CT10_Znunu_Pt0_70_CFilterBVeto_qsf4                  11802.0        0.140689827588      0.992245       0.0            0.0            Sherpa(v2.1.1)
362023         Sherpa_CT10_Znunu_Pt0_70_BFilter_qsf4                       11802.0        0.0810568912825     0.992245       0.0            0.0            Sherpa(v2.1.1)
362031         Sherpa_CT10_Znunu_Pt70_140_CVetoBVeto_qsf4                  371.85         0.648432728212      0.992245       0.0            0.0            Sherpa(v2.1.1)
